Round_name,Run_id,Version,Total_timespan,Average_travel_Time,Max_Travel_time,Total_#_cars,#_finished,Deadline Misses,Deadline_overTime,Num_switched,no_options_missed,1_options_missed,2_options_missed,3_options_missed,4+_options_missed,no_options_total,1_options_total,2_options_total,3_options_total,4+_options_total
analyze5,STRBE_DUE-STR,STRBE_REWORK,913,297.1505016722408,801.0,299,299,31,148.41935483870967,56,21,8,2,0,0,243,52,4,0,0
analyze5,str_sumo.rou.xml,N/A,700,235.62207357859532,505.0,299,297,3,18.666666666666668,0,3,0,0,0,0,243,52,4,0,0
analyze5,static2_099.rou.xml,N/A,716,247.3210702341137,646.0,299,296,9,51.333333333333336,0,5,4,0,0,0,243,52,4,0,0
analyze6,STRBE_DUE-STR,STRBE_REWORK,895,280.24269662921347,759.0,445,444,31,58.516129032258064,109,17,14,0,0,0,337,104,3,1,0
analyze6,str_sumo.rou.xml,N/A,973,294.03370786516854,747.0,445,444,36,117.13888888888889,0,23,11,0,2,0,337,103,3,2,0
analyze6,static2_099.rou.xml,N/A,1064,313.8314606741573,1029.0,445,443,57,192.52631578947367,0,27,27,1,2,0,336,104,3,2,0
analyze7,STRBE_DUE-STR,STRBE_REWORK,811,255.2880886426593,694.0,361,361,13,93.46153846153847,93,10,3,0,0,0,268,87,6,0,0
analyze7,str_sumo.rou.xml,N/A,895,257.77008310249306,746.0,361,360,19,103.52631578947368,0,12,7,0,0,0,269,86,6,0,0
analyze7,static2_099.rou.xml,N/A,749,263.8448753462604,676.0,361,360,13,71.15384615384616,0,8,5,0,0,0,269,86,6,0,0
analyze8,STRBE_DUE-STR,STRBE_REWORK,639,226.92241379310346,571.0,348,348,1,81.0,54,0,1,0,0,0,294,53,1,0,0
analyze8,str_sumo.rou.xml,N/A,775,268.2557471264368,660.0,348,347,13,74.76923076923077,0,10,3,0,0,0,294,53,1,0,0
analyze8,static2_099.rou.xml,N/A,757,233.42528735632183,604.0,348,347,9,33.333333333333336,0,6,3,0,0,0,294,53,1,0,0
analyze9,STRBE_DUE-STR,STRBE_REWORK,769,274.0335195530726,678.0,358,355,13,108.3076923076923,90,9,4,0,0,0,269,78,11,0,0
analyze9,str_sumo.rou.xml,N/A,830,280.91340782122904,584.0,358,357,9,96.0,0,7,1,1,0,0,269,78,11,0,0
analyze9,static2_099.rou.xml,N/A,589,235.50837988826817,507.0,358,354,3,34.666666666666664,0,1,1,1,0,0,269,79,10,0,0
analyze10,STRBE_DUE-STR,STRBE_REWORK,717,263.1705685618729,624.0,299,298,11,42.90909090909091,45,9,2,0,0,0,254,45,0,0,0
analyze10,str_sumo.rou.xml,N/A,589,232.20735785953178,488.0,299,298,1,59.0,0,0,1,0,0,0,254,45,0,0,0
analyze10,static2_099.rou.xml,N/A,933,305.40133779264215,865.0,299,298,37,152.54054054054055,0,29,8,0,0,0,254,45,0,0,0
analyze11,STRBE_DUE-STR,STRBE_REWORK,1145,339.3070707070707,994.0,495,494,71,184.19718309859155,112,46,18,7,0,0,384,92,19,0,0
analyze11,str_sumo.rou.xml,N/A,1066,315.0020202020202,881.0,495,492,65,139.3230769230769,0,38,17,10,0,0,384,92,19,0,0
analyze11,static2_099.rou.xml,N/A,1574,347.13737373737376,1490.0,495,495,76,383.11842105263156,0,54,14,8,0,0,384,92,19,0,0
analyze12,STRBE_DUE-STR,STRBE_REWORK,751,266.6544850498339,672.0,301,300,12,43.416666666666664,52,10,2,0,0,0,250,50,1,0,0
analyze12,str_sumo.rou.xml,N/A,634,236.17607973421926,476.0,301,300,0,0,0,0,0,0,0,0,250,50,1,0,0
analyze12,static2_099.rou.xml,N/A,724,262.67109634551497,690.0,301,299,13,54.53846153846154,0,10,3,0,0,0,249,51,1,0,0
analyze13,STRBE_DUE-STR,STRBE_REWORK,992,322.8973747016706,838.0,419,419,40,102.1,104,33,7,0,0,0,315,101,3,0,0
analyze13,str_sumo.rou.xml,N/A,1137,331.93078758949883,921.0,419,419,55,160.5818181818182,0,38,16,1,0,0,316,100,3,0,0
analyze13,static2_099.rou.xml,N/A,998,327.4128878281623,871.0,419,419,45,98.88888888888889,0,32,12,1,0,0,316,100,3,0,0
analyze14,STRBE_DUE-STR,STRBE_REWORK,1182,353.3893129770992,1102.0,393,392,67,189.62686567164178,87,41,20,1,5,0,306,75,7,5,0
analyze14,str_sumo.rou.xml,N/A,809,283.41984732824426,667.0,393,390,20,101.0,0,12,6,0,2,0,306,75,7,5,0
analyze14,static2_099.rou.xml,N/A,1498,359.7175572519084,1422.0,393,391,71,235.57746478873239,0,45,20,1,5,0,306,75,7,5,0
analyze0,STRBE_DUE-STR,STRBE_REWORK,1310,360.2194616977226,1186.0,483,479,100,295.73,126,50,39,6,5,0,357,115,6,5,0
analyze1,STRBE_DUE-STR,STRBE_REWORK,939,293.013698630137,878.0,438,438,31,107.0,103,17,13,1,0,0,335,99,4,0,0
analyze2,STRBE_DUE-STR,STRBE_REWORK,898,299.8,804.0,380,379,31,124.58064516129032,80,24,6,1,0,0,300,70,10,0,0
analyze3,STRBE_DUE-STR,STRBE_REWORK,623,237.0,571.0,318,316,4,26.75,71,2,1,1,0,0,247,66,4,1,0
analyze4,STRBE_DUE-STR,STRBE_REWORK,910,326.12745098039215,856.0,408,408,55,133.03636363636363,112,44,9,2,0,0,296,98,13,1,0
analyze0,test_vehicle_only_4corners.net.xml:1655243512.203868,STRBE_REWORK,1310,360.2194616977226,1186.0,483,479,100,295.73,126,50,39,6,5,0,357,115,6,5,0
analyze0,test_vehicle_only_4corners.net.xml:1655243616.805086,STRBE_REWORK,1310,360.2194616977226,1186.0,483,479,100,295.73,126,50,39,6,5,0,357,115,6,5,0
analyze0,test_vehicle_only_4corners.net.xml:1655244090.527135,STRBE_REWORK,1310,360.2194616977226,1186.0,483,479,100,295.73,126,50,39,6,5,0,357,115,6,5,0
analyze1,test_vehicle_only_4corners.net.xml:1655312027.187462,STRBE_REWORK,939,293.013698630137,878.0,438,438,31,107.0,103,17,13,1,0,0,335,99,4,0,0
analyze2,test_vehicle_only_4corners.net.xml:1655312161.61077,STRBE_REWORK,898,299.8,804.0,380,379,31,124.58064516129032,80,24,6,1,0,0,300,70,10,0,0
analyze3,test_vehicle_only_4corners.net.xml:1655312188.488826,STRBE_REWORK,623,237.0,571.0,318,316,4,26.75,71,2,1,1,0,0,247,66,4,1,0
analyze4,test_vehicle_only_4corners.net.xml:1655312208.032849,STRBE_REWORK,910,326.12745098039215,856.0,408,408,55,133.03636363636363,112,44,9,2,0,0,296,98,13,1,0
analyze5,test_vehicle_only_4corners.net.xml:1655312237.972779,STRBE_REWORK,913,297.1505016722408,801.0,299,299,31,148.41935483870967,56,21,8,2,0,0,243,52,4,0,0
analyze6,test_vehicle_only_4corners.net.xml:1655312260.146793,STRBE_REWORK,895,280.24269662921347,759.0,445,444,31,58.516129032258064,109,17,14,0,0,0,337,104,3,1,0
analyze7,test_vehicle_only_4corners.net.xml:1655312289.512339,STRBE_REWORK,811,255.2880886426593,694.0,361,361,13,93.46153846153847,93,10,3,0,0,0,268,87,6,0,0
analyze8,test_vehicle_only_4corners.net.xml:1655312313.409335,STRBE_REWORK,639,226.92241379310346,571.0,348,348,1,81.0,54,0,1,0,0,0,294,53,1,0,0
analyze9,test_vehicle_only_4corners.net.xml:1655312333.831337,STRBE_REWORK,769,274.0335195530726,678.0,358,355,13,108.3076923076923,90,9,4,0,0,0,269,78,11,0,0
analyze10,test_vehicle_only_4corners.net.xml:1655312357.639336,STRBE_REWORK,717,263.1705685618729,624.0,299,298,11,42.90909090909091,45,9,2,0,0,0,254,45,0,0,0
analyze11,test_vehicle_only_4corners.net.xml:1655312377.368336,STRBE_REWORK,1145,339.3070707070707,994.0,495,494,71,184.19718309859155,112,46,18,7,0,0,384,92,19,0,0
analyze12,test_vehicle_only_4corners.net.xml:1655312415.411338,STRBE_REWORK,751,266.6544850498339,672.0,301,300,12,43.416666666666664,52,10,2,0,0,0,250,50,1,0,0
analyze13,test_vehicle_only_4corners.net.xml:1655312435.432337,STRBE_REWORK,992,322.8973747016706,838.0,419,419,40,102.1,104,33,7,0,0,0,315,101,3,0,0
analyze14,test_vehicle_only_4corners.net.xml:1655312467.485338,STRBE_REWORK,1182,353.3893129770992,1102.0,393,392,67,189.62686567164178,87,41,20,1,5,0,306,75,7,5,0
analyze15,test_vehicle_only_4corners.net.xml:1655312500.62634,STRBE_REWORK,749,284.21994134897363,711.0,341,341,17,87.76470588235294,65,12,5,0,0,0,276,63,2,0,0
analyze16,test_vehicle_only_4corners.net.xml:1655312523.800336,STRBE_REWORK,1019,319.9373601789709,916.0,447,446,62,161.25806451612902,94,44,18,0,0,0,353,85,9,0,0
analyze17,test_vehicle_only_4corners.net.xml:1655312556.827337,STRBE_REWORK,810,268.24375,786.0,320,319,17,76.0,51,10,7,0,0,0,270,50,0,0,0
analyze18,test_vehicle_only_4corners.net.xml:1655312578.672566,STRBE_REWORK,714,246.03003003003002,580.0,333,331,12,69.91666666666667,65,12,0,0,0,0,268,63,2,0,0
analyze19,test_vehicle_only_4corners.net.xml:1655312599.80757,STRBE_REWORK,1162,314.6712962962963,1053.0,432,432,49,223.69387755102042,117,34,14,1,0,0,316,109,7,0,0
analyze20,test_vehicle_only_4corners.net.xml:1655312633.538569,STRBE_REWORK,1013,339.66521739130434,852.0,460,460,79,148.72151898734177,115,48,24,4,3,0,345,105,7,3,0
analyze21,test_vehicle_only_4corners.net.xml:1655312669.135567,STRBE_REWORK,792,276.708446866485,663.0,367,365,19,66.84210526315789,58,16,3,0,0,0,309,56,2,0,0
analyze22,test_vehicle_only_4corners.net.xml:1655312694.198567,STRBE_REWORK,1390,393.0764462809917,1291.0,484,481,120,305.43333333333334,129,84,31,5,0,0,356,121,7,0,0
analyze23,test_vehicle_only_4corners.net.xml:1655312735.909566,STRBE_REWORK,761,244.93589743589743,621.0,312,312,14,54.214285714285715,56,13,1,0,0,0,256,54,2,0,0
analyze24,test_vehicle_only_4corners.net.xml:1655312756.578566,STRBE_REWORK,1439,327.8451882845188,1262.0,478,476,76,261.7368421052632,110,57,19,0,0,0,368,104,6,0,0
analyze25,,STRBE_REWORK,1374,322.1590361445783,1244.0,415,415,55,275.3090909090909,122,37,17,1,0,0,293,110,12,0,0
analyze0,STRRT_Collector,STRBE_REWORK,1310,360.2194616977226,1186.0,483,479,100,295.73,126,50,39,6,5,0,357,115,6,5,0
analyze1,STRRT_Collector,STRBE_REWORK,939,293.013698630137,878.0,438,438,31,107.0,103,17,13,1,0,0,335,99,4,0,0
analyze2,STRRT_Collector,STRBE_REWORK,898,299.8,804.0,380,379,31,124.58064516129032,80,24,6,1,0,0,300,70,10,0,0
analyze3,STRRT_Collector,STRBE_REWORK,623,237.0,571.0,318,316,4,26.75,71,2,1,1,0,0,247,66,4,1,0
analyze4,STRRT_Collector,STRBE_REWORK,910,326.12745098039215,856.0,408,408,55,133.03636363636363,112,44,9,2,0,0,296,98,13,1,0
analyze5,STRRT_Collector,STRBE_REWORK,913,297.1505016722408,801.0,299,299,31,148.41935483870967,56,21,8,2,0,0,243,52,4,0,0
analyze6,STRRT_Collector,STRBE_REWORK,895,280.24269662921347,759.0,445,444,31,58.516129032258064,109,17,14,0,0,0,337,104,3,1,0
analyze7,STRRT_Collector,STRBE_REWORK,811,255.2880886426593,694.0,361,361,13,93.46153846153847,93,10,3,0,0,0,268,87,6,0,0
analyze8,STRRT_Collector,STRBE_REWORK,639,226.92241379310346,571.0,348,348,1,81.0,54,0,1,0,0,0,294,53,1,0,0
analyze9,STRRT_Collector,STRBE_REWORK,769,274.0335195530726,678.0,358,355,13,108.3076923076923,90,9,4,0,0,0,269,78,11,0,0
analyze10,STRRT_Collector,STRBE_REWORK,717,263.1705685618729,624.0,299,298,11,42.90909090909091,45,9,2,0,0,0,254,45,0,0,0
analyze11,STRRT_Collector,STRBE_REWORK,1145,339.3070707070707,994.0,495,494,71,184.19718309859155,112,46,18,7,0,0,384,92,19,0,0
analyze12,STRRT_Collector,STRBE_REWORK,751,266.6544850498339,672.0,301,300,12,43.416666666666664,52,10,2,0,0,0,250,50,1,0,0
analyze13,STRRT_Collector,STRBE_REWORK,992,322.8973747016706,838.0,419,419,40,102.1,104,33,7,0,0,0,315,101,3,0,0
analyze14,STRRT_Collector,STRBE_REWORK,1182,353.3893129770992,1102.0,393,392,67,189.62686567164178,87,41,20,1,5,0,306,75,7,5,0
analyze15,STRRT_Collector,STRBE_REWORK,749,284.21994134897363,711.0,341,341,17,87.76470588235294,65,12,5,0,0,0,276,63,2,0,0
analyze16,STRRT_Collector,STRBE_REWORK,1019,319.9373601789709,916.0,447,446,62,161.25806451612902,94,44,18,0,0,0,353,85,9,0,0
analyze17,STRRT_Collector,STRBE_REWORK,810,268.24375,786.0,320,319,17,76.0,51,10,7,0,0,0,270,50,0,0,0
analyze18,STRRT_Collector,STRBE_REWORK,714,246.03003003003002,580.0,333,331,12,69.91666666666667,65,12,0,0,0,0,268,63,2,0,0
analyze19,STRRT_Collector,STRBE_REWORK,1162,314.6712962962963,1053.0,432,432,49,223.69387755102042,117,34,14,1,0,0,316,109,7,0,0
analyze20,STRRT_Collector,STRBE_REWORK,1013,339.66521739130434,852.0,460,460,79,148.72151898734177,115,48,24,4,3,0,345,105,7,3,0
analyze21,STRRT_Collector,STRBE_REWORK,792,276.708446866485,663.0,367,365,19,66.84210526315789,58,16,3,0,0,0,309,56,2,0,0
analyze22,STRRT_Collector,STRBE_REWORK,1390,393.0764462809917,1291.0,484,481,120,305.43333333333334,129,84,31,5,0,0,356,121,7,0,0
analyze23,STRRT_Collector,STRBE_REWORK,761,244.93589743589743,621.0,312,312,14,54.214285714285715,56,13,1,0,0,0,256,54,2,0,0
analyze24,STRRT_Collector,STRBE_REWORK,1439,327.8451882845188,1262.0,478,476,76,261.7368421052632,110,57,19,0,0,0,368,104,6,0,0
analyze25,STRRT_Collector,STRBE_REWORK,1374,322.1590361445783,1244.0,415,415,55,275.3090909090909,122,37,17,1,0,0,293,110,12,0,0
analyze0,STRRT_Collector,STRBE_REWORK,1310,360.2194616977226,1186.0,483,479,100,295.73,126,50,39,6,5,0,357,115,6,5,0
analyze1,STRRT_Collector,STRBE_REWORK,939,293.013698630137,878.0,438,438,31,107.0,103,17,13,1,0,0,335,99,4,0,0
analyze2,STRRT_Collector,STRBE_REWORK,898,299.8,804.0,380,379,31,124.58064516129032,80,24,6,1,0,0,300,70,10,0,0
analyze3,STRRT_Collector,STRBE_REWORK,623,237.0,571.0,318,316,4,26.75,71,2,1,1,0,0,247,66,4,1,0
analyze4,STRRT_Collector,STRBE_REWORK,910,326.12745098039215,856.0,408,408,55,133.03636363636363,112,44,9,2,0,0,296,98,13,1,0
analyze5,STRRT_Collector,STRBE_REWORK,913,297.1505016722408,801.0,299,299,31,148.41935483870967,56,21,8,2,0,0,243,52,4,0,0
analyze6,STRRT_Collector,STRBE_REWORK,895,280.24269662921347,759.0,445,444,31,58.516129032258064,109,17,14,0,0,0,337,104,3,1,0
analyze7,STRRT_Collector,STRBE_REWORK,811,255.2880886426593,694.0,361,361,13,93.46153846153847,93,10,3,0,0,0,268,87,6,0,0
analyze8,STRRT_Collector,STRBE_REWORK,639,226.92241379310346,571.0,348,348,1,81.0,54,0,1,0,0,0,294,53,1,0,0
analyze9,STRRT_Collector,STRBE_REWORK,769,274.0335195530726,678.0,358,355,13,108.3076923076923,90,9,4,0,0,0,269,78,11,0,0
analyze10,STRRT_Collector,STRBE_REWORK,717,263.1705685618729,624.0,299,298,11,42.90909090909091,45,9,2,0,0,0,254,45,0,0,0
analyze11,STRRT_Collector,STRBE_REWORK,1145,339.3070707070707,994.0,495,494,71,184.19718309859155,112,46,18,7,0,0,384,92,19,0,0
analyze12,STRRT_Collector,STRBE_REWORK,751,266.6544850498339,672.0,301,300,12,43.416666666666664,52,10,2,0,0,0,250,50,1,0,0
analyze13,STRRT_Collector,STRBE_REWORK,992,322.8973747016706,838.0,419,419,40,102.1,104,33,7,0,0,0,315,101,3,0,0
analyze14,STRRT_Collector,STRBE_REWORK,1182,353.3893129770992,1102.0,393,392,67,189.62686567164178,87,41,20,1,5,0,306,75,7,5,0
analyze15,STRRT_Collector,STRBE_REWORK,749,284.21994134897363,711.0,341,341,17,87.76470588235294,65,12,5,0,0,0,276,63,2,0,0
analyze16,STRRT_Collector,STRBE_REWORK,1019,319.9373601789709,916.0,447,446,62,161.25806451612902,94,44,18,0,0,0,353,85,9,0,0
analyze17,STRRT_Collector,STRBE_REWORK,810,268.24375,786.0,320,319,17,76.0,51,10,7,0,0,0,270,50,0,0,0
analyze18,STRRT_Collector,STRBE_REWORK,714,246.03003003003002,580.0,333,331,12,69.91666666666667,65,12,0,0,0,0,268,63,2,0,0
analyze19,STRRT_Collector,STRBE_REWORK,1162,314.6712962962963,1053.0,432,432,49,223.69387755102042,117,34,14,1,0,0,316,109,7,0,0
analyze20,STRRT_Collector,STRBE_REWORK,1013,339.66521739130434,852.0,460,460,79,148.72151898734177,115,48,24,4,3,0,345,105,7,3,0
analyze21,STRRT_Collector,STRBE_REWORK,792,276.708446866485,663.0,367,365,19,66.84210526315789,58,16,3,0,0,0,309,56,2,0,0
analyze22,STRRT_Collector,STRBE_REWORK,1390,393.0764462809917,1291.0,484,481,120,305.43333333333334,129,84,31,5,0,0,356,121,7,0,0
analyze23,STRRT_Collector,STRBE_REWORK,761,244.93589743589743,621.0,312,312,14,54.214285714285715,56,13,1,0,0,0,256,54,2,0,0
analyze24,STRRT_Collector,STRBE_REWORK,1439,327.8451882845188,1262.0,478,476,76,261.7368421052632,110,57,19,0,0,0,368,104,6,0,0
analyze25,STRRT_Collector,STRBE_REWORK,1374,322.1590361445783,1244.0,415,415,55,275.3090909090909,122,37,17,1,0,0,293,110,12,0,0
Eric0,Dijkstras-Reader2,N/A,776,280.1045197740113,572.0,354,351,16,51.9375,0,0,0,0,0,0,0,0,0,0,0
Eric0,Dijkstras-Reader2,N/A,776,280.1045197740113,572.0,354,351,16,51.9375,0,0,0,0,0,0,0,0,0,0,0
Eric0,Dijkstras-Reader2,N/A,776,280.1045197740113,572.0,354,351,16,51.9375,0,0,0,0,0,0,0,0,0,0,0
Eric0,Dijkstras-Reader2,N/A,776,280.1045197740113,572.0,354,351,16,51.9375,0,0,0,0,0,0,0,0,0,0,0
